id,category
1,Deportes y juegos activos 
2,Juegos de mesa
3,Artes escenicas 
4,Reuniones sociales 
5,Interacción con animales
6,Pasatiempos al aire libre 
7,Manualidades 
8,Aprendizaje activo 
9,Salidas y excursiones 
10,Externas 
11,Rituales
